Fib Num,Execution Time:
0,0.0000007
1,0.0000009
2,0.0000014
3,0.000001
4,0.0000006
5,0.0000004
6,0.0000011
7,0.0000007
8,0.0000004
9,0.000001
10,0.0000009
11,0.0000006
12,0.0000009
13,0.0000011
14,0.000001
15,0.0000008
16,0.0000006
17,0.0000004
18,0.0000004
19,0.0000004
20,0.0000004
21,0.0000011
22,0.0000006
23,0.0000006
24,0.0000007
25,0.0000005
26,0.0000005
27,0.0000007
28,0.0000007
29,0.0000006
30,0.0000006
31,0.0000004
32,0.0000005
33,0.0000004
34,0.0000004
35,0.0000003
36,0.0000004
37,0.0000006
38,0.0000006
39,0.0000004
40,0.0000004
41,0.0000003
42,0.0000004
43,0.0000005
44,0.0000007
45,0.0000007
46,0.0000007
47,0.0000007
48,0.0000004
49,0.0000004
50,0.0000004
51,0.0000004
52,0.0000004
53,0.0000004
54,0.0000007
55,0.0000007
56,0.0000007
57,0.0000007
58,0.0000006
59,0.0000007
60,0.0000004
61,0.0000004
62,0.0000004
63,0.0000004
64,0.0000004
65,0.0000004
66,0.0000004
67,0.0000007
68,0.0000007
69,0.0000007
70,0.0000006
71,0.0000007
72,0.0000007
73,0.0000003
74,0.0000004
75,0.0000004
76,0.0000004
77,0.0000004
78,0.0000004
79,0.0000004
80,0.0000004
81,0.0000003
82,0.0000011
83,0.0000009
84,0.0000007
85,0.0000007
86,0.0000006
87,0.0000007
88,0.0000007
89,0.0000004
90,0.0000007
91,0.0000004
92,0.0000004
93,0.0000008
94,0.0000006
95,0.0000005
96,0.0000007
97,0.0000004
98,0.0000004
99,0.0000005
100,0.0000005
